username,repo_name,stars,repo_url
bregman-arie,devops-exercises,63900,https://github.com/bregman-arie/devops-exercises
ByteByteGoHq,system-design-101,58900,https://github.com/ByteByteGoHq/system-design-101
localstack,localstack,52400,https://github.com/localstack/localstack
serverless,serverless,46100,https://github.com/serverless/serverless
donnemartin,data-science-ipython-notebooks,26500,https://github.com/donnemartin/data-science-ipython-notebooks
sst,sst,20400,https://github.com/sst/sst
pulumi,pulumi,20100,https://github.com/pulumi/pulumi
kubernetes-sigs,kubespray,15400,https://github.com/kubernetes-sigs/kubespray
getsops,sops,15300,https://github.com/getsops/sops
aws,aws-cli,15000,https://github.com/aws/aws-cli
ramitsurana,awesome-kubernetes,14800,https://github.com/ramitsurana/awesome-kubernetes
caprover,caprover,12400,https://github.com/caprover/caprover
donnemartin,awesome-aws,12200,https://github.com/donnemartin/awesome-aws
GoogleCloudPlatform,terraformer,11900,https://github.com/GoogleCloudPlatform/terraformer
aws,aws-cdk,11200,https://github.com/aws/aws-cdk
apereo,cas,10700,https://github.com/apereo/cas
aws,chalice,10300,https://github.com/aws/chalice
infracost,infracost,10300,https://github.com/infracost/infracost
milanm,DevOps-Roadmap,9800,https://github.com/milanm/DevOps-Roadmap
prowler-cloud,prowler,9700,https://github.com/prowler-cloud/prowler
